destination,total_time,direct_walk_time
217,1800.0,3644.7888
212,18420.0,3414.5699999999997
211,1500.0,3423.9408
295,12480.0,6096.5112
335,2580.0,6054.1032000000005
681,4680.0,6215.5188
682,None,6218.7336
203,4260.0,4005.1811999999995
220,1980.0,4020.8472
266,12540.0,5966.6592
273,None,5981.971199999999
301,3840.0,4244.5656
330,1320.0,4232.208
381,1860.0,4409.5716
348,18300.0,4397.4924
300,6480.0,4606.2372
331,1380.0,4604.1348
265,6840.0,5734.9944000000005
274,None,5735.564399999999
296,12540.0,5056.9824
334,2460.0,5069.1372
382,2880.0,6964.492799999999
269,12180.0,6945.8436
1250,14280.0,6245.022
1251,2700.0,6265.9655999999995
52,17820.0,4521.78
53,16500.0,6498.0444
2616,2400.0,5163.656399999999
2618,4440.0,5178.048
2623,None,5189.2392
2620,2400.0,5175.526800000001
2624,None,5247.42
2625,None,5261.6831999999995
2626,None,5234.9136
2627,None,5250.0732
2628,None,5262.1272
2631,16500.0,5286.816
2629,None,5275.9176
2630,None,5286.816
1247,1980.0,5440.658399999999
2658,6000.0,5200.317599999999
2657,2400.0,5184.6504
1246,None,5082.8964000000005
268,12120.0,7315.2372
55,2760.0,6720.1644
674,None,6669.8844
231,4620.0,5874.8712
255,None,5866.981199999999
176,18480.0,3131.1408
56,4080.0,3138.36
689,15600.0,6570.0444
196,16200.0,6395.1204
702,13380.0,11149.5636
701,None,11143.6716
703,18360.0,11375.748000000001
704,None,11389.536
2580,None,11853.951599999999
2581,9060.0,11850.6084
576,None,10244.629200000001
577,13620.0,10250.3568
716,None,11428.249199999998
717,9180.0,11434.2192
2578,9300.0,11044.6428
751,11820.0,11184.604800000001
750,8820.0,11189.1456
746,19440.0,10263.2028
747,13740.0,10276.458
286,19560.0,9121.2228
344,3180.0,9146.9088
290,12000.0,8757.495599999998
340,2940.0,8808.2244
2554,8520.0,9344.595599999999
2557,12420.0,9314.4792
287,19740.0,8811.127199999999
343,3120.0,8814.9456
756,11760.0,11720.384399999999
