centroid,accessibilite
1232,1.4882193821670567e-06
1233,1.4516873016380718e-06
1234,1.4447457978061597e-06
1235,1.4204258996608621e-06
1236,1.5180460370122114e-06
1237,1.4963982334978155e-06
1238,2.068145909020804e-06
1275,1.4030254506336196e-06
1276,1.4831263543001463e-06
1277,1.7430444517087568e-06
1278,2.015928262060649e-06
1315,1.2999477791217915e-06
1316,1.5676623228066809e-06
1317,1.8543181898205759e-06
1318,2.103445639156694e-06
