centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,inaccessibilite,accessibilite
108,79,None,None,None,None,None,None,None,852633.2628,10792.826111392405,9.265413800602666e-05
109,47,None,None,None,None,None,None,None,523539.19559999986,11139.131821276593,8.977360318960618e-05
110,22,None,None,None,None,None,None,None,256817.84759999998,11673.538527272727,8.566382829539765e-05
111,0,None,None,None,None,None,None,None,0.0,0.0,0.0
112,0,None,None,None,None,None,None,None,0.0,0.0,0.0
113,0,None,None,None,None,None,None,None,0.0,0.0,0.0
114,0,None,None,None,None,None,None,None,0.0,0.0,0.0
115,0,None,None,None,None,None,None,None,0.0,0.0,0.0
116,0,None,None,None,None,None,None,None,0.0,0.0,0.0
117,0,None,None,None,None,None,None,None,0.0,0.0,0.0
118,0,None,None,None,None,None,None,None,0.0,0.0,0.0
119,0,None,None,None,None,None,None,None,0.0,0.0,0.0
120,20,17,0,0,0,0,0,17,185163.4476,9258.17238,0.0001080126788479607
121,35,28,0,0,0,0,0,28,323451.8927999999,9241.482651428569,0.00010820774519826836
122,45,1,0,0,0,0,0,1,396598.1172,8813.291493333332,0.00011346498646464074
123,51,1,0,0,0,0,0,1,416154.2159999999,8159.886588235292,0.00012255072287913578
124,72,62,7,0,0,0,0,62,586866.5352,8150.9241,0.00012268547562600907
125,85,74,6,0,0,0,0,74,690664.0884000004,8125.459863529416,0.00012306995749107485
126,88,74,0,0,0,0,0,74,691438.7699999999,7857.258749999999,0.00012727085002768937
127,87,73,3,0,0,0,0,73,633613.2972000001,7282.911462068967,0.0001373077244187608
128,98,85,5,0,0,0,0,85,682843.0608000001,6967.786334693878,0.00014351760400872478
129,99,89,7,0,0,0,0,89,728471.7684,7358.30069090909,0.00013590094262326942
130,110,100,9,0,0,0,0,100,768664.3991999996,6987.858174545451,0.00014310536576753698
131,115,105,10,0,0,0,0,105,739430.7264,6429.832403478261,0.00015552504906022797
132,143,18,0,0,0,0,0,18,994640.2680000002,6955.52634965035,0.0001437705717339809
133,171,154,26,0,0,0,0,154,1174619.5632,6869.120252631579,0.00014557904989607619
134,188,168,47,0,0,0,0,168,1241330.4119999993,6602.821340425528,0.0001514504101265829
135,216,190,0,0,0,0,0,190,1695588.8940000008,7849.948583333337,0.00012738936941869347
136,244,216,0,0,0,0,0,216,1921073.5523999997,7873.252263934425,0.0001270123154291362
137,265,239,46,0,0,0,0,239,2000783.0339999988,7550.124656603769,0.00013244814429988822
138,292,264,11,0,0,0,0,264,2509099.8888000017,8592.80783835617,0.0001163763950982643
139,315,290,69,0,0,0,0,290,2518730.338800002,7995.969329523816,0.00012506301097324908
140,306,283,79,0,0,0,0,283,2424764.6652,7924.067533333334,0.00012619781391228762
141,299,273,74,0,0,0,0,273,2413547.49,8072.065183946489,0.00012388403428515094
142,278,256,11,0,0,0,0,256,2433035.7204000005,8751.927051798562,0.00011426055017157566
143,272,250,3,0,0,0,0,250,2479527.4272000007,9115.909658823532,0.00010969832275949261
144,251,230,3,0,0,0,0,230,2323192.963200001,9255.748857370521,0.00010804096085684971
145,235,219,48,0,0,0,0,219,2178609.2304,9270.677576170212,0.00010786698078794664
146,222,207,1,0,0,0,0,207,2220538.0548,10002.423670270271,9.997576917005151e-05
147,181,176,0,0,0,0,0,176,1864625.2164000005,10301.796775690611,9.707044526055137e-05
148,133,None,None,None,None,None,None,None,1410785.106,10607.406812030074,9.427374830819912e-05
149,82,None,None,None,None,None,None,None,894874.0127999998,10913.097717073168,9.163301071111405e-05
150,46,None,None,None,None,None,None,None,521955.9395999999,11346.868252173912,8.813004414750415e-05
151,2,None,None,None,None,None,None,None,23975.576399999998,11987.788199999999,8.341822388887385e-05
152,0,None,None,None,None,None,None,None,0.0,0.0,0.0
153,0,None,None,None,None,None,None,None,0.0,0.0,0.0
154,0,None,None,None,None,None,None,None,0.0,0.0,0.0
155,0,None,None,None,None,None,None,None,0.0,0.0,0.0
156,0,None,None,None,None,None,None,None,0.0,0.0,0.0
157,0,None,None,None,None,None,None,None,0.0,0.0,0.0
158,0,None,None,None,None,None,None,None,0.0,0.0,0.0
159,0,None,None,None,None,None,None,None,0.0,0.0,0.0
160,21,18,0,0,0,0,0,18,190980.44040000002,9094.306685714288,0.00010995890446171575
