centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,somme_moyennée,accessibilite
589,318,276,13,0,0,0,0,276,2398597.864799999,7542.760581132073,4.169102352150148e-07
590,302,260,10,0,0,0,0,260,2459275.8132000007,8143.297394701989,4.066237689292783e-07
591,275,237,25,0,0,0,0,237,2335599.206400002,8493.088023272734,4.281556515603375e-07
592,245,208,55,0,0,0,0,208,2210636.416800001,9023.005782857148,4.523584214936378e-07
620,498,413,0,0,0,0,0,413,3500030.563199998,7028.1738216867425,2.857117907809705e-07
621,496,403,0,0,0,0,0,403,3352504.2168000005,6759.081082258065,2.9828448685875484e-07
622,486,418,27,0,0,0,0,418,3171934.605600001,6526.614414814817,3.1526501152782773e-07
629,314,265,87,0,0,0,0,265,2165071.7592,6895.1329910828035,4.618784554141072e-07
630,285,236,14,0,0,0,0,236,2370833.7035999997,8318.714749473684,4.217925527554071e-07
631,269,221,28,0,0,0,0,221,2353058.5883999984,8747.42969665427,4.249787935284547e-07
632,239,193,46,0,0,0,0,193,2118705.5183999995,8864.876646025103,4.7198631018584325e-07
657,459,2,0,2,2,0,0,0,3954578.4731999994,8615.639375163397,2.5287145185686794e-07
658,472,394,0,0,0,0,0,394,3838879.564800003,8133.2194169491595,2.6049267321885826e-07
659,482,399,0,0,0,0,0,399,3682868.5535999984,7640.806127800826,2.715274752400548e-07
660,484,8,0,0,0,0,0,8,3558913.530000003,7353.12712809918,2.809846295984604e-07
664,446,14,0,0,0,0,0,14,3058384.7964000013,6857.365014349779,3.2696997486290527e-07
665,429,363,16,2,2,0,0,358,3003637.92,7001.486993006993,3.3292960957158245e-07
666,408,351,101,3,3,0,0,348,2749791.7020000005,6739.6855441176485,3.636639092599894e-07
667,389,323,18,0,0,0,0,323,2974089.801599997,7645.475068380455,3.362373252690693e-07
669,297,246,85,0,0,0,0,246,2086110.5987999996,7023.941410101009,4.793609699194441e-07
670,273,221,87,0,0,0,0,221,1967864.330399999,7208.294250549447,5.081651130882252e-07
671,251,198,41,0,0,0,0,198,2261764.806,9011.015163346614,4.421326202208136e-07
672,221,171,45,0,0,0,0,171,1966131.3840000003,8896.522099547512,5.086130093531937e-07
697,432,3,0,0,0,0,0,3,3777799.293599999,8744.90577222222,2.647043747649877e-07
698,453,None,None,None,None,None,None,None,3837713.089200003,8471.772823841067,2.6057185015059494e-07
699,466,None,None,None,None,None,None,None,3701520.634799999,7943.177327896994,2.701592395834454e-07
700,476,385,0,0,0,0,0,385,3659568.6252000015,7688.169380672272,2.7325625023505286e-07
704,459,12,0,0,0,0,0,12,3377160.7295999974,7357.648648366007,2.9610672398125495e-07
705,443,None,None,None,None,None,None,None,3310867.1856,7473.740825282167,3.0203567341792314e-07
706,434,358,25,3,3,0,0,355,3230599.324800002,7443.777246082954,3.095400882193608e-07
707,410,None,None,None,None,None,None,None,3252356.1684000026,7932.576020487812,3.0746940009708414e-07
737,362,297,8,0,0,0,0,297,3221519.384400001,8899.224818784533,3.104125354149459e-07
738,395,329,4,0,0,0,0,329,3479970.128400004,8810.050957974694,2.873587884674668e-07
739,421,354,1,0,0,0,0,354,3600315.864000002,8551.819154394303,2.7775340769378656e-07
740,448,6,0,0,0,0,0,6,3641504.146800004,8128.357470535723,2.746117976767256e-07
744,455,12,0,12,12,0,0,0,3592692.417600004,7896.027291428581,2.7834278133612715e-07
745,440,358,18,1,1,0,0,357,3469845.008400002,7886.011382727277,2.881973107095971e-07
746,426,352,117,3,3,0,0,349,3007634.4479999985,7060.174760563376,3.324872145499514e-07
747,393,None,None,None,None,None,None,None,3189687.586800002,8116.253401526723,3.1351032751242966e-07
777,295,234,2,0,0,0,0,234,2678007.7487999997,9077.992368813559,3.73411914303868e-07
778,334,275,1,0,0,0,0,275,3040892.1168000028,9104.46741556887,3.2885086401957657e-07
779,362,299,105,0,0,0,0,299,2719763.610000001,7513.159143646411,3.6767901310364236e-07
780,386,316,2,0,0,0,0,316,3269337.018000002,8469.785020725394,3.0587241220293166e-07
784,439,9,0,0,0,0,0,9,3616744.3836000008,8238.597684738043,2.7649175444481635e-07
785,431,337,0,0,0,0,0,337,3609725.3891999964,8375.232921577717,2.7702938372872306e-07
786,408,320,0,0,0,0,0,320,3460981.7688,8482.798452941177,2.889353561509e-07
787,373,None,None,None,None,None,None,None,3173883.5484000007,8509.071175335122,3.1507142109990584e-07
820,360,254,0,0,0,0,0,254,3163408.0836000023,8787.244676666673,3.161147640686263e-07
821,411,None,None,None,None,None,None,None,3606309.8531999993,8774.476528467152,2.772917582532922e-07
822,435,None,None,None,None,None,None,None,3768928.3248,8664.20304551724,2.653274124158531e-07
823,432,None,None,None,None,None,None,None,3730652.713200002,8635.77016944445,2.680496087083487e-07
860,321,228,0,0,0,0,0,228,2835645.1860000016,8833.78562616823,3.526534296100046e-07
861,361,1,0,0,0,0,0,1,3252385.2839999986,9009.377518005536,3.074666476076702e-07
862,404,311,0,0,0,0,0,311,3669976.532400001,9084.100327722774,2.7248130639844847e-07
863,411,9,0,0,0,0,0,9,3706370.1264000004,9017.932181021899,2.6980575762715327e-07
870,228,154,0,0,0,0,0,154,1893170.6724,8303.380142105263,5.28214394285057e-07
871,207,9,0,0,0,0,0,9,1702273.0848,8223.541472463769,5.874498098626108e-07
872,194,130,20,0,0,0,0,130,1568927.2943999993,8087.254094845357,6.373781650490231e-07
873,172,117,17,0,0,0,0,117,1399888.0391999998,8138.883948837208,7.143428417114517e-07
900,244,161,0,0,0,0,0,161,2021689.1484,8285.611263934426,4.94635884449109e-07
901,278,179,0,0,0,0,0,179,2454633.7392000016,8829.61776690648,4.073927543772431e-07
902,330,237,0,0,0,0,0,237,3002048.906399999,9097.117898181814,3.3310583244267706e-07
903,325,8,0,0,0,0,0,8,2893657.912799998,8903.56280861538,3.4558335163826165e-07
910,199,154,3,0,0,0,0,154,1581074.6688,7945.098838190956,6.324811975888383e-07
911,198,120,0,0,0,0,0,120,1638647.6940000013,8275.99845454546,6.102593032422742e-07
912,186,8,0,0,0,0,0,8,1517460.7331999992,8158.391038709673,6.589956353540789e-07
913,160,102,13,0,0,0,0,102,1246193.5427999997,7788.709642499998,8.024435736949481e-07
940,188,None,None,None,None,None,None,None,1432318.3547999999,7618.714653191489,6.981688090840908e-07
941,213,133,0,0,0,0,0,133,1768732.1052000015,8303.906597183106,5.653767447653831e-07
942,234,142,0,0,0,0,0,142,2009233.7543999995,8586.469035897433,4.977021701980224e-07
943,270,168,0,0,0,0,0,168,2405864.5488,8910.60944,4.156509976834653e-07
950,195,133,0,0,0,0,0,133,1590563.9904,8156.738412307693,6.287078080703417e-07
951,179,134,3,0,0,0,0,134,1450730.2583999997,8104.638315083797,6.893080186408278e-07
952,157,6,0,0,0,0,0,6,1227402.3827999996,7817.84957197452,8.147287425976475e-07
953,153,94,0,0,0,0,0,94,1190001.7656000003,7777.789317647061,8.40334887651027e-07
990,173,128,3,0,0,0,0,128,1345139.2752,7775.371532947977,7.434174426669063e-07
991,161,106,0,0,0,0,0,106,1216136.9364,7553.645567701863,8.222758227870234e-07
992,152,96,0,0,0,0,0,96,1144266.3047999998,7528.067794736841,8.739224390381614e-07
993,142,89,0,0,0,0,0,89,1090978.6991999997,7682.948585915491,9.166081800985545e-07
994,134,79,0,0,0,0,0,79,1064868.6287999998,7946.780811940297,9.390829750773105e-07
995,130,75,0,0,0,0,0,75,1078709.1768000002,8297.76289846154,9.270339230509824e-07
996,110,64,0,0,0,0,0,64,901418.8452,8194.716774545454,1.1093622075075738e-06
997,106,23,0,0,0,0,0,23,875391.8664,8258.413833962264,1.1423455464721689e-06
1024,194,106,0,0,0,0,0,106,1628230.1567999998,8392.938952577319,6.141637874864843e-07
1025,211,124,0,0,0,0,0,124,1840393.6019999997,8722.244559241704,5.433620280538229e-07
1026,210,125,0,0,0,0,0,125,1773888.1799999997,8447.08657142857,5.637333915827773e-07
1027,176,102,0,0,0,0,0,102,1394792.8008000006,7924.959095454548,7.169523669941784e-07
1034,130,75,0,0,0,0,0,75,970172.5404,7462.865695384616,1.0307444896221265e-06
1035,120,67,0,0,0,0,0,67,907327.5588000002,7561.062990000002,1.1021378005122704e-06
1036,102,57,0,0,0,0,0,57,788441.0495999998,7729.814211764704,1.2683256414760881e-06
1037,93,22,0,0,0,0,0,22,718829.1887999998,7729.34611612903,1.3911510767521582e-06
1064,183,2,0,0,0,0,0,2,1551825.1272,8479.918727868853,6.444025054577683e-07
1065,179,104,0,0,0,0,0,104,1516156.1652,8470.146174301675,6.59562664422558e-07
1066,179,107,7,0,0,0,0,107,1465186.3896000008,8185.398824581011,6.825070223816386e-07
1067,147,83,1,0,0,0,0,83,1173904.9667999996,7985.7480734693845,8.518577127464969e-07
1074,122,None,None,None,None,None,None,None,837545.2463999998,6865.124970491802,1.1939653461090913e-06
1075,111,None,None,None,None,None,None,None,775729.3067999997,6988.552313513511,1.289109475733424e-06
1076,95,None,None,None,None,None,None,None,676752.9648000004,7123.715418947373,1.4776440621808405e-06
1077,92,None,None,None,None,None,None,None,657494.2776,7146.676930434783,1.520925784556212e-06
1104,169,None,None,None,None,None,None,None,1442895.8676000002,8537.845370414203,6.930507061908228e-07
1105,150,None,None,None,None,None,None,None,1251683.8307999994,8344.558871999996,7.989237980016579e-07
1106,143,None,None,None,None,None,None,None,1145560.0032000002,8010.909113286714,8.729355050862514e-07
1107,130,None,None,None,None,None,None,None,1004589.6792000001,7727.612916923078,9.954312897145677e-07
1111,130,None,None,None,None,None,None,None,853509.6755999995,6565.459043076919,1.1716328807837132e-06
1112,131,None,None,None,None,None,None,None,844377.6287999994,6445.630754198469,1.1843042329545915e-06
1113,119,None,None,None,None,None,None,None,752991.0516000005,6327.655895798323,1.3280370302875979e-06
1114,114,None,None,None,None,None,None,None,700821.4415999999,6147.556505263157,1.426896982085715e-06
1115,109,None,None,None,None,None,None,None,660398.6328000003,6058.703053211011,1.5142369325631947e-06
1116,103,None,None,None,None,None,None,None,678825.366,6590.537533980583,1.473132929449192e-06
1117,92,None,None,None,None,None,None,None,663432.4776000001,7211.222582608697,1.5073123999258366e-06
1144,138,None,None,None,None,None,None,None,1185746.9988,8592.369556521739,8.433502264918404e-07
1145,119,None,None,None,None,None,None,None,960630.3023999998,8072.523549579831,1.0409831935362028e-06
1146,126,None,None,None,None,None,None,None,1016789.4144000006,8069.757257142862,9.834878155080835e-07
1147,118,None,None,None,None,None,None,None,929824.0524,7879.864850847458,1.0754722868470293e-06
1151,113,None,None,None,None,None,None,None,722592.0707999999,6394.62009557522,1.3839066887253204e-06
1152,107,None,None,None,None,None,None,None,698735.4552000002,6530.237899065422,1.4311568027040624e-06
1153,107,None,None,None,None,None,None,None,648330.8688000003,6059.166998130844,1.5424223157088082e-06
1154,103,None,None,None,None,None,None,None,619571.2811999999,6015.255157281552,1.6140192909896939e-06
1191,108,None,None,None,None,None,None,None,728025.8556000004,6740.980144444447,1.3735775897352614e-06
1192,97,None,None,None,None,None,None,None,660567.3276000001,6809.972449484537,1.5138502287620557e-06
1193,99,None,None,None,None,None,None,None,627177.1788,6335.123018181818,1.5944457703536582e-06
1194,99,None,None,None,None,None,None,None,642013.9836,6484.989733333334,1.5575984722211896e-06
1195,101,None,None,None,None,None,None,None,677687.1564,6709.773825742574,1.4756071301574987e-06
1196,96,None,None,None,None,None,None,None,681658.0547999998,7100.604737499998,1.4670111985890088e-06
1197,88,None,None,None,None,None,None,None,656899.6560000001,7464.768818181819,1.5223025173878305e-06
1198,76,None,None,None,None,None,None,None,589449.7176000004,7755.917336842111,1.696497547019945e-06
1231,111,None,None,None,None,None,None,None,753556.0571999998,6788.793308108106,1.3270412870353877e-06
1232,101,None,None,None,None,None,None,None,671943.9432,6652.910328712871,1.488219382167057e-06
1233,101,None,None,None,None,None,None,None,688853.5835999999,6820.3325108910885,1.4516873016380722e-06
1234,97,None,None,None,None,None,None,None,692163.2868000002,7135.703987628868,1.4447457978061597e-06
1235,99,None,None,None,None,None,None,None,704014.1976000001,7111.254521212122,1.4204258996608621e-06
1236,92,None,None,None,None,None,None,None,658741.5504000001,7160.234243478261,1.5180460370122114e-06
1237,85,None,None,None,None,None,None,None,668271.3047999998,7862.015350588233,1.4963982334978155e-06
1238,64,None,None,None,None,None,None,None,483524.8787999999,7555.076231249998,2.068145909020804e-06
1275,96,None,None,None,None,None,None,None,712745.4456,7424.4317249999995,1.4030254506336196e-06
1276,86,None,None,None,None,None,None,None,674251.3859999996,7840.132395348833,1.4831263543001463e-06
1277,76,None,None,None,None,None,None,None,573708.8339999999,7548.80044736842,1.7430444517087568e-06
1278,62,None,None,None,None,None,None,None,496049.3976,8000.796735483871,2.015928262060649e-06
1315,99,None,None,None,None,None,None,None,769261.6704000003,7770.319903030306,1.2999477791217915e-06
1316,82,None,None,None,None,None,None,None,637892.4756,7779.176531707317,1.5676623228066809e-06
1317,70,None,None,None,None,None,None,None,539281.7724000001,7704.025320000002,1.8543181898205759e-06
1318,61,None,None,None,None,None,None,None,475410.432,7793.613639344262,2.103445639156694e-06
