stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
791,STP9A1,ST-PALAIS-SUR-MER - Pin,ARRET DU RESEAU CARA BUS .,45.6559514771175,-1.07050550548207
790,STP9A2,ST-PALAIS-SUR-MER - Pin,ARRET DU RESEAU CARA BUS .,45.6558835472378,-1.07066255140797
770,STPBE2,ST-PALAIS-SUR-MER - Bernezac,ARRET DU RESEAU CARA BUS .,45.6502781603681,-1.06950676092207
96,STPBER,ST-PALAIS-SUR-MER - Bernezac,ARRET DU RESEAU CARA BUS .,45.65056,-1.06974
771,STPCH2,ST-PALAIS-SUR-MER - Châtenet,ARRET DU RESEAU CARA BUS .,45.6630796356678,-1.0718845300246
106,STPCHA,ST-PALAIS-SUR-MER - Châtenet,ARRET DU RESEAU CARA BUS .,45.6630708306435,-1.07197058372731
792,STPDE2,ST-PALAIS-SUR-MER - Guerets,ARRET DU RESEAU CARA BUS .,45.6526196712041,-1.06280370118309
86,STPDEV,ST-PALAIS-SUR-MER - Narcisses,ARRET DU RESEAU CARA BUS .,45.6571871362337,-1.06085933416466
784,STPMB2,ST-PALAIS-SUR-MER - Bertrand,ARRET DU RESEAU CARA BUS .,45.6543443078568,-1.0725288600124
69,STPMBE,ST-PALAIS-SUR-MER - Bertrand,ARRET DU RESEAU CARA BUS .,45.6542974559307,-1.07238947645038
70,STPMG2,ST-PALAIS-SUR-MER - Maine Gaudin,ARRET DU RESEAU CARA BUS .,45.6531601930571,-1.10244917495177
785,STPMGA,ST-PALAIS-SUR-MER - Maine Gaudin,ARRET DU RESEAU CARA BUS .,45.6530984639169,-1.10247522678478
71,STPMY2,ST-PALAIS-SUR-MER - Myosotis,ARRET DU RESEAU CARA BUS .,45.6542207315509,-1.06694400871635
170,STPMYO,ST-PALAIS-SUR-MER - Myosotis,ARRET DU RESEAU CARA BUS .,45.6542624241889,-1.06689809854726
795,STPNE2,ST-PALAIS-SUR-MER - Terre Nègre,ARRET DU RESEAU CARA BUS .,45.6469103817826,-1.10549361831651
72,STPNEG,ST-PALAIS-SUR-MER - Terre Nègre,ARRET DU RESEAU CARA BUS .,45.6470521303529,-1.10574037294578
162,STPPA2,ST-PALAIS-SUR-MER - Palud,ARRET DU RESEAU CARA BUS .,45.6528180328146,-1.09612771901384
90,STPPAL,ST-PALAIS-SUR-MER - Palud,ARRET DU RESEAU CARA BUS .,45.6528295531443,-1.09621870459735
167,STPST2,ST-PALAIS-SUR-MER - Stade,ARRET DU RESEAU CARA BUS .,45.6520727372853,-1.0798249568353
147,STPSTA,ST-PALAIS-SUR-MER - Stade,ARRET DU RESEAU CARA BUS .,45.651892,-1.080089
