route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id
192,2,412,ST-AUGUSTIN - Breuils,,1,
193,2,413,LES MATHES - Cimetière,,1,
194,2,414,CHAILLEVETTE - Jadeau,,1,
36,4,415,ROYAN - Gare ,,0,
126,4,416,ROYAN - Gare ,,1,
32,4,417,ST-PALAIS-SUR-MER - Vallet,,0,
191,2,418,BOUTENAC-TOUVENT - Mairie,,1,
52,2,419,ARVERT - Fouilloux,,1,
132,2,420,ROYAN - Gare ,,1,
132,2,421,ROYAN - Gare ,,1,
132,2,422,ROYAN - Gare ,,1,
134,4,423,ROYAN - Perche,,1,
195,2,424,SAUJON - Richelieu,,1,
128,4,425,RONCE - Casino,,0,
133,4,426,VAUX-SUR-MER - Val Lumière,,1,
31,2,427,ST-SULPICE-DE-ROYAN - Maries,,1,
31,5,428,ST-SULPICE-DE-ROYAN - Centre,,1,
34,4,429,ROYAN - Gare ,,0,
33,4,430,LES MATHES - Eglise,,1,
34,2,431,LA TREMBLADE - Ronce Casino,,1,
34,5,432,LA TREMBLADE - Ronce Casino,,1,
35,5,433,SAUJON - Richelieu,,1,
35,2,434,CORME-ECLUSE - Grenouille,,1,
36,2,435,MORTAGNE-SUR-GIRONDE - OT,,1,
36,5,436,COZES - Gare,,1,
37,2,437,ARCES - Brézillas,,1,
37,5,438,MESCHERS-SUR-GIRONDE - Longée,,1,
126,4,439,VAUX-SUR-MER - Grosse Pierre,,0,
196,2,440,SABLONCEAUX - Vinaigrière,,1,
197,2,441,SAINT-ROMAIN-DE-BENET - Ecole,,1,
33,2,442,LES MATHES - Palmyre OT,,1,
32,4,443,ST-GEORGES-DE-DIDONNE - Parasols,,1,
126,4,444,ROYAN - Gare ,,1,
32,4,445,ST-PALAIS-SUR-MER - Vallet,,0,
128,4,446,COZES - Gare,,1,
134,4,447,ROYAN - Perche,,1,
133,4,448,VAUX-SUR-MER - Val Lumière,,1,
31,4,449,ST-SULPICE-DE-ROYAN - Centre,,1,
161,4,450,ETAULES - Eglise,,0,
126,4,451,VAUX-SUR-MER - Val Lumière,,0,
128,9,452,SAUJON - Gare,,1,
128,11,453,SAUJON - Gare,,1,
34,8,454,ROYAN - Gare ,,0,
32,8,455,ST-PALAIS-SUR-MER - Vallet,,0,
32,8,456,ST-GEORGES-DE-DIDONNE - Parasols,,1,
36,8,457,ROYAN - Gare ,,0,
33,8,458,ROYAN - Gare ,,0,
31,8,459,ST-SULPICE-DE-ROYAN - Centre,,1,
37,8,460,ROYAN - Gare ,,0,
35,8,461,ROYAN - Gare ,,0,
32,8,462,ST-GEORGES-DE-DIDONNE - Parasols,,1,
126,8,463,ROYAN - Gare ,,1,
32,8,464,ST-PALAIS-SUR-MER - Vallet,,0,
133,8,465,MEDIS - Aérodrome,,0,
31,8,466,ROYAN - Cordouan,,0,
134,8,467,ROYAN - Cordouan,,0,
128,9,468,RONCE - Casino,,0,
128,11,469,RONCE - Casino,,0,
34,8,470,ROYAN - Gare ,,0,
34,8,471,LA TREMBLADE - Ronce Casino,,1,
35,8,472,SAUJON - Richelieu,,1,
36,8,473,COZES - Gare,,1,
37,8,474,MESCHERS-SUR-GIRONDE - Longée,,1,
126,8,475,VAUX-SUR-MER - Grosse Pierre,,0,
128,8,476,SAUJON - Gare,,0,
134,8,477,ROYAN - Perche,,1,
31,8,478,ST-SULPICE-DE-ROYAN - Centre,,1,
133,8,479,VAUX-SUR-MER - Val Lumière,,1,
33,8,480,ROYAN - Gare ,,0,
36,8,481,ROYAN - Gare ,,0,
37,8,482,ROYAN - Gare ,,0,
35,8,483,ROYAN - Gare ,,0,
32,8,484,ST-GEORGES-DE-DIDONNE - Parasols,,1,
126,8,485,ROYAN - Gare ,,1,
134,8,486,ROYAN - Cordouan,,0,
32,8,487,ST-PALAIS-SUR-MER - Vallet,,0,
31,8,488,ROYAN - Gare ,,0,
133,8,489,MEDIS - Aérodrome,,0,
103,10,490,ROYAN - Gare ,,1,
31,8,491,ST-SULPICE-DE-ROYAN - Centre,,1,
33,8,492,ARVERT - Halle,,1,
35,8,493,SAUJON - Richelieu,,1,
36,8,494,COZES - Gare,,1,
37,8,495,MESCHERS-SUR-GIRONDE - Longée,,1,
126,8,496,VAUX-SUR-MER - Val Lumière,,0,
