centroid_id,distance,stop_id
6,2345.85,1008
6,1930.658,1007
6,1545.74,1006
6,1355.378,1005
6,1304.531,1004
6,1455.447,1003
6,1809.877,1002
6,2708.646,1000
6,2260.706,1001
7,1729.204,2009
7,1387.056,2008
7,1012.948,2007
7,611.335,2006
7,333.862,2005
7,1762.462,2004
7,1348.55,2003
7,828.469,2002
7,446.942,2001
7,165.353,2000
7,2551.651,1009
7,1887.101,1008
7,1371.017,1007
7,737.602,1006
7,345.022,1005
7,283.738,1004
7,796.551,1003
7,1394.484,1002
7,2533.915,1000
7,2000.943,1001
8,2878.224,2009
8,2536.036,2008
8,2161.202,2007
8,1754.063,2006
8,1482.744,2005
8,677.692,2004
8,336.607,2003
8,399.382,2002
8,740.574,2001
8,988.282,2000
8,2651.966,1009
8,2065.502,1008
8,1636.749,1007
8,1160.092,1006
8,1023.739,1005
8,1051.773,1004
8,1340.774,1003
8,1805.693,1002
8,2855.118,1000
8,2354.521,1001
9,1260.634,2009
9,1129.768,2008
9,1111.188,2007
9,1257.573,2006
9,1329.494,2005
9,2949.247,2004
9,2569.238,2003
9,2116.602,2002
9,1797.925,2001
9,1639.091,2000
9,3843.128,1009
9,3209.724,1008
9,2735.601,1007
9,2197.925,1006
9,1861.385,1005
9,1487.78,1004
9,1239.378,1003
9,1215.785,1002
9,1802.137,1000
9,1446.169,1001
10,2058.217,2009
10,1771.149,2008
10,1494.157,2007
10,1279.661,2006
10,1098.932,2005
10,1845.006,2004
10,1499.567,2003
10,1142.873,2002
10,966.562,2001
10,994.485,2000
10,3555.96,1009
10,2891.478,1008
10,2374.006,1007
10,1727.92,1006
10,1321.667,1005
10,769.556,1004
10,228.485,1003
10,383.401,1002
10,1526.928,1000
10,992.107,1001
11,3087.123,2009
11,2764.881,2008
11,2424.31,2007
11,2083.407,2006
11,1815.147,2005
11,870.089,2004
11,737.181,2003
11,882.795,2002
11,1132.679,2001
11,1392.263,2000
11,3628.647,1009
11,3010.975,1008
11,2536.79,1007
11,1946.164,1006
11,1635.807,1005
11,1271.988,1004
11,1102.436,1003
11,1209.492,1002
11,2015.523,1000
11,1588.76,1001
12,2209.003,2009
12,2129.279,2008
12,2117.926,2007
12,2211.278,2006
12,2215.451,2005
12,3322.721,2004
12,3012.592,2003
12,2672.897,2002
12,2451.849,2001
12,2385.958,2000
12,4790.396,1009
12,4140.797,1008
12,3644.743,1007
12,3052.375,1006
12,2671.519,1005
12,2183.972,1004
12,1731.572,1003
12,1313.451,1002
12,1096.889,1000
12,1056.672,1001
13,2743.515,2009
13,2528.742,2008
13,2341.687,2007
13,2223.941,2006
13,2085.29,2005
13,2397.198,2004
13,2173.367,2003
13,1992.644,2002
13,1927.012,2001
13,1998.822,2000
13,4563.268,1009
13,3899.33,1008
13,3381.827,1007
13,2733.494,1006
13,2327.917,1005
13,1774.416,1004
13,1230.667,1003
13,627.716,1002
13,535.632,1000
13,96.906,1001
14,3580.652,2009
14,3301.857,2008
14,3021.323,2007
14,2765.698,2006
14,2536.86,2005
14,1760.582,2004
14,1737.34,2003
14,1855.773,2002
14,2015.489,2001
14,2223.69,2000
14,4620.167,1009
14,3988.778,1008
14,3498.052,1007
14,2876.457,1006
14,2519.602,1005
14,2043.131,1004
14,1636.385,1003
14,1307.636,1002
14,1420.44,1000
14,1244.684,1001
