route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
387,3,25-6493175831,Préval,5.9,1,37542,0,0,Din5R01CL10
116,3,25-1946746905,Clos des Ormeaux,4.16,0,D18002,0,0,Din4A04AL10
114,3,25-1918042127,Deroyer,2.15,0,74467,0,0,Din2A3BL10
113,3,25-1901330454,Bourg Quévert,1.16,1,73917,0,0,Din1R1BL10
116,3,25-1946877960,Deroyer,4.17,1,D18002,0,0,Din4R01BL10
115,3,25-1934819347,La Nourais,3.13,0,73920,0,0,Din3A1AL10
114,3,25-1918042128,Deroyer,2.16,0,74467,0,0,Din2A3BL10
113,3,25-1901264921,La Nourais,1.17,0,73917,0,0,Din1A1BL10
116,3,25-1946746883,Clos des Ormeaux,4.18,0,D18002,0,0,Din4A04AL10
115,3,25-1934884883,Mairie Taden,3.14,1,73920,0,0,Din3R1AL10
114,3,25-1918042129,Deroyer,2.17,0,74467,0,0,Din2A3BL10
113,3,25-1901330457,Bourg Quévert,1.18,1,73917,0,0,Din1R1BL10
116,3,25-1946877961,Deroyer,4.19,1,D18002,0,0,Din4R01BL10
114,3,25-1918042130,Deroyer,2.18,0,74467,0,0,Din2A3BL10
115,3,25-1934819350,La Nourais,3.15,0,73920,0,0,Din3A1AL10
387,3,25-6493110282,Trélivan,5.12,0,37542,0,0,Din5A01CL10
113,3,25-1901264924,La Nourais,1.19,0,73917,0,0,Din1A1BL10
116,3,25-1946746912,Clos des Ormeaux,4.20,0,D18002,0,0,Din4A04AL10
114,3,25-1918042131,Deroyer,2.19,0,74467,0,0,Din2A3BL10
116,3,25-1946877962,Deroyer,4.21,1,D18002,0,0,Din4R01BL10
387,3,25-6493175832,Préval,5.11,1,37542,0,0,Din5R01CL10
113,3,25-1901330460,Bourg Quévert,1.20,1,73917,0,0,Din1R1BL10
115,3,25-1934884887,Mairie Taden,3.16,1,73920,0,0,Din3R1AL10
114,3,25-1918042132,Deroyer,2.20,0,74467,0,0,Din2A3BL10
116,3,25-1946746914,Clos des Ormeaux,4.22,0,D18002,0,0,Din4A04AL10
387,3,25-6493110295,Trélivan,5.14,0,37542,0,0,Din5A01CL10
113,3,25-1901264927,La Nourais,1.21,0,73917,0,0,Din1A1BL10
115,3,25-1934819353,La Nourais,3.17,0,73920,0,0,Din3A1AL10
114,3,25-1918042133,Deroyer,2.21,0,74467,0,0,Din2A3BL10
116,3,25-1946877963,Deroyer,4.23,1,D18002,0,0,Din4R01BL10
113,3,25-1901330463,Bourg Quévert,1.22,1,73917,0,0,Din1R1BL10
115,3,25-1934884890,Mairie Taden,3.18,1,73920,0,0,Din3R1AL10
114,3,25-1918042134,Deroyer,2.22,0,74467,0,0,Din2A3BL10
116,3,25-1946746920,Clos des Ormeaux,4.24,0,D18002,0,0,Din4A04AL10
387,3,25-6493175809,Préval,5.13,1,37542,0,0,Din5R01CL10
113,3,25-1901264930,La Nourais,1.23,0,73917,0,0,Din1A1BL10
116,3,25-1946877964,Deroyer,4.25,1,D18002,0,0,Din4R01BL10
114,3,25-1918042135,Deroyer,2.23,0,74467,0,0,Din2A3BL10
387,3,25-6493110296,Trélivan,5.16,0,37542,0,0,Din5A01CL10
115,3,25-1934819356,La Nourais,3.19,0,73920,0,0,Din3A1AL10
113,3,25-1901330466,Bourg Quévert,1.24,1,73917,0,0,Din1R1BL10
116,3,25-1946746924,Clos des Ormeaux,4.26,0,D18002,0,0,Din4A04AL10
114,3,25-1918042136,Deroyer,2.24,0,74467,0,0,Din2A3BL10
387,3,25-6493175810,Préval,5.15,1,37542,0,0,Din5R01CL10
113,3,25-1901264933,La Nourais,1.25,0,73917,0,0,Din1A1BL10
115,3,25-1934884892,Mairie Taden,3.20,1,73920,0,0,Din3R1AL10
116,3,25-1946877965,Deroyer,4.27,1,D18002,0,0,Din4R01BL10
114,3,25-1918042137,Deroyer,2.25,0,74467,0,0,Din2A3BL10
387,3,25-6493110279,Trélivan,5.18,0,37542,0,0,Din5A01CL10
